"","gender","row","seat","instructor","classid","time","att","class","material","teacher"
"432","m",2,9,"P",0,4,10,NA,10,9
"433","m",2,9,"R",4,1,8,8,8,10
"434","m",2,9,"R",4,2,8,8,8,10
"435","m",2,9,"R",4,3,7,8,8,10
"436","m",2,9,"R",4,4,5,8,8,10
"437","m",2,9,"R",5,1,8,9,8,9
"438","m",2,9,"R",5,2,9,9,8,9
"439","m",2,9,"R",5,3,8.5,9,8,9
"440","m",2,9,"R",5,4,9,9,8,9
"441","m",2,9,"R",6,1,8,NA,7,8
"442","m",2,9,"R",6,2,9,NA,9,7
"443","m",2,9,"R",6,3,8,NA,8,7
"444","m",2,9,"R",6,4,7,NA,8,6
"445","m",2,10,"P",1,1,8,7,8,8
"446","m",2,10,"P",1,2,7,7,8,7
"447","m",2,10,"P",1,3,8,7,7,7
"448","m",2,10,"P",1,4,NA,NA,NA,NA
"449","m",2,10,"P",2,1,8,6,9,8
"450","m",2,10,"P",2,2,8,6,8,7
"451","m",2,10,"P",2,3,7,7,7,8
"452","m",2,10,"P",2,4,6,5,8,6
"453","m",2,11,"P",0,1,8,7,7,7
"454","m",2,11,"P",0,2,5,6,8,7
"455","m",2,11,"P",0,3,7,6,7,7
"456","m",2,11,"P",0,4,8,8,7,6
"457","m",2,11,"P",3,1,6,7,7,7
"458","m",2,11,"P",3,2,5,6,8,7
"459","m",2,11,"P",3,3,6,7,7,7
"460","m",2,11,"P",3,4,NA,NA,NA,NA
"461","m",2,12,"R",4,1,8.5,7.5,8.5,8
"462","m",2,12,"R",4,2,9.5,8.5,6.5,8
"463","m",2,12,"R",4,3,7.5,8.5,6.5,8
"464","m",2,12,"R",4,4,1.5,8.5,9.5,8
"465","m",2,13,"P",2,1,7,9,9,8
"466","m",2,13,"P",2,2,9,9,9,8
"467","m",2,13,"P",2,3,9,8,8,9
"468","m",2,13,"P",2,4,6,7,8,7
"469","m",2,14,"R",4,1,7,8,8,8
"470","m",2,14,"R",4,2,8,7,8,8
"471","m",2,14,"R",4,3,6,7,7,7
"472","m",2,14,"R",4,4,7,7,7,8
"473","m",3,1,"P",0,1,8,9,8,10
"474","m",3,1,"P",0,2,7,9,9,10
"475","m",3,1,"P",0,3,7,9,9,9
"476","m",3,1,"P",0,4,10,10,9,10
"477","m",3,1,"P",2,1,8,8,8,9
"478","m",3,1,"P",2,2,6,7,6,8
"479","m",3,1,"P",2,3,8,8,6,6
"480","m",3,1,"P",2,4,9,8,9,9
"481","m",3,1,"P",3,1,8,7,7,7
"482","m",3,1,"P",3,2,8,7,7,7
"483","m",3,1,"P",3,3,7,7,7,7
"484","m",3,1,"P",3,4,NA,NA,NA,NA
"485","m",3,1,"R",4,1,6,6,6,8
"486","m",3,1,"R",4,2,3.5,6,6,8
"487","m",3,1,"R",4,3,5,6,6,8
"488","m",3,1,"R",4,4,4,6,6,8
"489","m",3,1,"R",5,1,3.5,5.5,5.5,9
"490","m",3,1,"R",5,2,2,5.5,7,9
"491","m",3,1,"R",5,3,2,5.5,6,9
"492","m",3,1,"R",5,4,3,5.5,8,9
"493","m",3,2,"P",1,1,7,9,10,9
"494","m",3,2,"P",1,2,9,9,10,9
"495","m",3,2,"P",1,3,9,8,10,9
"496","m",3,2,"P",1,4,NA,NA,NA,NA
"497","m",3,2,"R",4,1,4,7,NA,7.5
"498","m",3,2,"R",4,2,9,7,NA,7
"499","m",3,2,"R",4,3,5,7,NA,6.5
"500","m",3,2,"R",4,4,5,7,NA,6
"501","m",3,2,"R",5,1,1,7,3,6
"502","m",3,2,"R",5,2,6,7,2,6
"503","m",3,2,"R",5,3,1,7,5,6
"504","m",3,2,"R",5,4,9,7,9,6
"505","m",3,3,"P",0,1,9,9,6,8
"506","m",3,3,"P",0,2,7,8,5,7
"507","m",3,3,"P",0,3,9,9,7,8
"508","m",3,3,"P",0,4,8,8,4,8
"509","m",3,3,"P",2,1,7,3,8,9
"510","m",3,3,"P",2,2,9,4,8,9
"511","m",3,3,"P",2,3,7,2,4,8
"512","m",3,3,"P",2,4,3,2,6,8
"513","m",3,4,"P",0,1,8,8,7,8
"514","m",3,4,"P",0,2,7,7,7,7
"515","m",3,4,"P",0,3,6,7,3,6
"516","m",3,4,"P",0,4,3,4,2,2
"517","m",3,4,"P",1,1,7,7,8,8
"518","m",3,4,"P",1,2,8,7,7,7
"519","m",3,4,"P",1,3,7,7,6,6
"520","m",3,4,"P",1,4,NA,NA,NA,NA
"521","m",3,5,"P",0,1,8,8,9,7
"522","m",3,5,"P",0,2,5,7,2,4
"523","m",3,5,"P",0,3,6,4,6,4
"524","m",3,5,"P",0,4,3,5,8,5
"525","m",3,5,"P",1,1,7,7,9,8
"526","m",3,5,"P",1,2,8,8,8,4
"527","m",3,5,"P",1,3,6,7,8,5
"528","m",3,5,"P",1,4,NA,NA,NA,NA
"529","m",3,5,"P",2,1,1,4,5,8
"530","m",3,5,"P",2,2,4,4,7,6
"531","m",3,5,"P",2,3,1,3,4,4
"532","m",3,5,"P",2,4,1,3,6,3
"533","m",3,5,"R",6,1,3,5,7,8
"534","m",3,5,"R",6,2,6,7,4,5
"535","m",3,5,"R",6,3,7,7,4,6
"536","m",3,5,"R",6,4,8,6,7,8
"537","m",3,6,"P",0,1,6,7,4,7
"538","m",3,6,"P",0,2,5,7,5,7
"539","m",3,6,"P",0,3,7,8,6,6
"540","m",3,6,"P",0,4,7,7,3,5
"541","m",3,6,"P",1,1,8,8,7,6
"542","m",3,6,"P",1,2,7,8,7,5
"543","m",3,6,"P",1,3,7,7,7,4
"544","m",3,6,"P",1,4,NA,NA,NA,NA
"545","m",3,6,"P",3,1,6,6,5,5
"546","m",3,6,"P",3,2,6,6,7,6
"547","m",3,6,"P",3,3,6,6,5,6
"548","m",3,6,"P",3,4,NA,NA,NA,NA
"549","m",3,6,"R",6,1,3,4,4,8
"550","m",3,6,"R",6,2,8,8,8,8
"551","m",3,6,"R",6,3,7,8,8,8
"552","m",3,6,"R",6,4,9,10,8,9
"553","m",3,7,"P",0,1,5,7,5,7
"554","m",3,7,"P",0,2,3,7,6,6
"555","m",3,7,"P",0,3,1,3,6,2
"556","m",3,7,"P",0,4,8,7,6,8
